鄉鎮市區,村里,納稅單位,合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
新莊區,仁義里,1120,699046,7819,8135,606820,18766,10106,1284,680,37702,0,5689,205,1841,471281,563507,733
新莊區,建福里,860,539738,7172,9515,459713,17779,4064,944,491,35434,148,3257,0,1220,354923,434953,451
新莊區,四維里,1312,849664,13794,16435,715807,24592,17105,2828,714,53132,99,4284,0,874,554325,688176,225
新莊區,文聖里,1224,1079922,8876,14878,797769,51975,57841,4430,767,130824,489,8543,0,3531,655495,938029,569
新莊區,福營里,811,601895,10963,2630,401180,31064,41148,1797,339,105723,80,4027,155,2787,309060,509775,839
新莊區,後德里,1039,936391,8210,12647,706690,35238,23456,2300,941,137579,93,7935,129,1172,574795,805151,619
新莊區,建安里,2012,1575465,25753,17498,1299911,49225,17650,6004,1132,140775,592,15116,0,1809,1038553,1314107,929
新莊區,龍安里,738,473556,3581,3795,390276,17509,8736,1263,459,43737,0,3444,194,563,297725,381294,609
新莊區,昌平里,1359,1220864,15665,23147,987763,37841,14049,5298,1016,117713,89,13547,582,4156,807294,1040227,2139
新莊區,昌明里,1093,887584,10378,16727,731279,26990,5881,1591,795,83929,68,7638,82,2227,591881,748187,1166
新莊區,成德里,1422,982482,10937,4265,820407,29591,9276,2634,849,96469,5,6977,0,1072,639598,801744,308
新莊區,福興里,1691,1367481,29321,6499,1027082,49503,41386,4659,1120,193167,0,8882,294,5569,805591,1145990,1368
新莊區,昌信里,1081,1047618,9909,10742,859228,34278,17103,3850,1204,100827,103,8928,33,1412,710315,898735,965
新莊區,昌隆里,1352,1247322,28021,10146,1019082,45926,19579,3870,1264,104957,6,11700,533,2238,838261,1066514,1717
新莊區,中平里,2611,2587964,32167,31602,2117970,73021,36511,7478,2209,247256,375,32623,1029,5723,1763461,2233129,3581
新莊區,立廷里,3538,3747200,36295,54794,3151274,105511,35716,14792,4823,280879,2832,40359,1086,18838,2665712,3262400,6046
新莊區,泰豐里,688,525028,4194,3761,455991,16229,4888,926,356,33423,0,5096,16,148,366184,435221,618
新莊區,富民里,1070,721804,16970,6633,602660,19012,8814,1732,551,58852,191,4693,378,1319,465268,584186,1481
新莊區,龍福里,647,486849,4769,10211,418107,13370,3677,1251,438,31003,2,3028,15,979,333582,402330,521
新莊區,祥鳳里,671,506871,4778,4196,414552,13543,2968,20149,638,31547,157,5540,75,8728,325522,417841,573
新莊區,民全里,1099,790119,9387,12978,662598,24017,10500,1366,674,59918,158,6271,185,2066,514690,642330,1066
